代码,名称,最新价,涨跌幅,涨跌额,成交量(股),成交额,振幅,最高,最低,今开,昨收,量比,指数
000987,全指材料,3017.47,-1.70%,-52.04,104.6亿,977.5亿,2.17%,3075.6,3008.89,3074.8,3069.51,1.01,上证系列指数
000907,中证700,4799.54,-1.70%,-83.01,250.3亿,2537亿,2.29%,4898.63,4786.89,4896.16,4882.55,1.05,上证系列指数
000075,医药等权,8067.4,-1.70%,-139.74,6.6亿,117亿,2.26%,8235.9,8050.7,8226.67,8207.14,1.06,上证系列指数
000842,800等权,5710.69,-1.70%,-98.85,347.5亿,3878亿,2.23%,5823.75,5694.24,5820.79,5809.54,1.06,上证系列指数
000059,全R成长,2996.12,-1.70%,-51.85,154.5亿,1834亿,2.31%,3059.17,2988.64,3058.02,3047.97,1.07,上证系列指数
000065,上证龙头,3371.09,-1.71%,-58.8,51.46亿,775.6亿,2.25%,3440.64,3363.43,3440.03,3429.88,1.14,上证系列指数
000002,A股指数,3367.46,-1.71%,-58.45,352.9亿,3589亿,2.22%,3435.03,3358.88,3433.99,3425.9,1.04,上证系列指数
000037,上证医药,6525.85,-1.71%,-113.35,6.6亿,117亿,2.12%,6654.76,6513.72,6648.11,6639.21,1.06,上证系列指数
000017,新综指,2715.15,-1.71%,-47.11,352.8亿,3588亿,2.22%,2769.62,2708.22,2768.77,2762.26,1.04,上证系列指数
000860,结构调整,1089.82,-1.71%,-18.92,51.57亿,562亿,2.05%,1109.41,1086.64,1109.41,1108.75,1.15,上证系列指数
000107,380可选,4794.36,-1.72%,-84.15,12.28亿,90.36亿,2.33%,4893.14,4779.55,4893.14,4878.5,1.14,上证系列指数
000902,中证流通,4945.86,-1.73%,-87.08,789.7亿,8038亿,2.20%,5042.53,4931.99,5041.22,5032.94,1.04,上证系列指数
000985,中证全指,4674.15,-1.73%,-82.39,760.8亿,7777亿,2.21%,4766.02,4660.96,4764.71,4756.54,1.04,上证系列指数
000961,中证上游,2408.3,-1.73%,-42.39,40.96亿,314.4亿,1.97%,2450.14,2401.86,2449.53,2450.69,1.2,上证系列指数
000962,中证中游,3132.07,-1.74%,-55.48,114.9亿,1265亿,2.40%,3199.68,3123.2,3198.47,3187.55,1.05,上证系列指数
000865,上海国企,1738.17,-1.75%,-31.01,16.52亿,217.5亿,2.22%,1776.18,1736.92,1773.44,1769.19,1.11,上证系列指数
000160,沪新丝路,1545.84,-1.76%,-27.74,37.69亿,333.5亿,2.59%,1582.4,1541.68,1581.2,1573.58,1.12,上证系列指数
000841,800医药,9882.97,-1.77%,-177.89,12.35亿,213.1亿,2.05%,10065.15,9859.32,10060.21,10060.87,0.96,上证系列指数
000963,中证下游,5823.15,-1.77%,-105.18,59.28亿,983.1亿,2.26%,5942.41,5808.33,5930.0,5928.33,1.07,上证系列指数
000939,民企200,1686.57,-1.78%,-30.52,74.69亿,776.1亿,2.22%,1719.98,1681.9,1719.98,1717.09,1.12,上证系列指数
000915,300信息,2071.32,-1.78%,-37.57,23.4亿,290亿,2.19%,2112.11,2065.98,2111.89,2108.89,1.17,上证系列指数
000838,创业价值,1902.54,-1.78%,-34.49,25.21亿,183.1亿,2.33%,1942.65,1897.56,1941.29,1937.03,1.13,上证系列指数
000072,工业等权,2892.73,-1.79%,-52.64,27.99亿,250.5亿,2.70%,2964.25,2884.7,2961.85,2945.37,1.12,上证系列指数
000969,300非周,4365.66,-1.80%,-79.85,94.12亿,1411亿,2.30%,4457.77,4355.55,4452.31,4445.51,1.11,上证系列指数
000090,上证流通,1204.41,-1.83%,-22.48,352.8亿,3588亿,2.37%,1230.34,1201.27,1229.91,1226.89,1.04,上证系列指数
000960,中证龙头,4265.36,-1.85%,-80.44,80.5亿,1226亿,2.32%,4353.53,4252.77,4353.53,4345.8,1.11,上证系列指数
000854,500原料,4384.26,-1.87%,-83.53,25.53亿,224.8亿,2.33%,4473.53,4369.26,4469.71,4467.8,0.9,上证系列指数
000957,300运输,1531.06,-1.87%,-29.14,7.36亿,63.69亿,2.53%,1565.08,1525.58,1562.87,1560.2,1.07,上证系列指数
000855,央视500,1285.13,-1.88%,-24.61,237.1亿,3000亿,2.27%,1311.61,1281.82,1311.54,1309.74,1.07,上证系列指数
000930,中证工业,2978.25,-1.89%,-57.47,68.12亿,589.7亿,2.76%,3052.86,2969.05,3050.56,3035.72,1.07,上证系列指数
000953,中证地企,1430.69,-1.90%,-27.68,179.5亿,1815亿,2.37%,1461.73,1427.1,1460.88,1458.37,1.01,上证系列指数
